APAAC_Pc1.A,APAAC_Pc1.R,APAAC_Pc1.N,APAAC_Pc1.D,APAAC_Pc1.C,APAAC_Pc1.E,APAAC_Pc1.Q,APAAC_Pc1.G,APAAC_Pc1.H,APAAC_Pc1.I,APAAC_Pc1.L,APAAC_Pc1.K,APAAC_Pc1.M,APAAC_Pc1.F,APAAC_Pc1.P,APAAC_Pc1.S,APAAC_Pc1.T,APAAC_Pc1.W,APAAC_Pc1.Y,APAAC_Pc1.V,APAAC_Pc2.Hydrophobicity.1,APAAC_Pc2.Hydrophilicity.1,APAAC_Pc2.Hydrophobicity.2,APAAC_Pc2.Hydrophilicity.2,APAAC_Pc2.Hydrophobicity.3,APAAC_Pc2.Hydrophilicity.3,APAAC_Pc2.Hydrophobicity.4,APAAC_Pc2.Hydrophilicity.4,APAAC_Pc2.Hydrophobicity.5,APAAC_Pc2.Hydrophilicity.5,APAAC_Pc2.Hydrophobicity.6,APAAC_Pc2.Hydrophilicity.6,APAAC_Pc2.Hydrophobicity.7,APAAC_Pc2.Hydrophilicity.7,APAAC_Pc2.Hydrophobicity.8,APAAC_Pc2.Hydrophilicity.8,APAAC_Pc2.Hydrophobicity.9,APAAC_Pc2.Hydrophilicity.9,APAAC_Pc2.Hydrophobicity.10,APAAC_Pc2.Hydrophilicity.10,APAAC_Pc2.Hydrophobicity.11,APAAC_Pc2.Hydrophilicity.11,APAAC_Pc2.Hydrophobicity.12,APAAC_Pc2.Hydrophilicity.12,APAAC_Pc2.Hydrophobicity.13,APAAC_Pc2.Hydrophilicity.13,APAAC_Pc2.Hydrophobicity.14,APAAC_Pc2.Hydrophilicity.14,APAAC_Pc2.Hydrophobicity.15,APAAC_Pc2.Hydrophilicity.15,APAAC_Pc2.Hydrophobicity.16,APAAC_Pc2.Hydrophilicity.16,APAAC_Pc2.Hydrophobicity.17,APAAC_Pc2.Hydrophilicity.17,APAAC_Pc2.Hydrophobicity.18,APAAC_Pc2.Hydrophilicity.18,APAAC_Pc2.Hydrophobicity.19,APAAC_Pc2.Hydrophilicity.19,APAAC_Pc2.Hydrophobicity.20,APAAC_Pc2.Hydrophilicity.20,APAAC_Pc2.Hydrophobicity.21,APAAC_Pc2.Hydrophilicity.21,APAAC_Pc2.Hydrophobicity.22,APAAC_Pc2.Hydrophilicity.22,APAAC_Pc2.Hydrophobicity.23,APAAC_Pc2.Hydrophilicity.23,APAAC_Pc2.Hydrophobicity.24,APAAC_Pc2.Hydrophilicity.24,APAAC_Pc2.Hydrophobicity.25,APAAC_Pc2.Hydrophilicity.25,APAAC_Pc2.Hydrophobicity.26,APAAC_Pc2.Hydrophilicity.26,APAAC_Pc2.Hydrophobicity.27,APAAC_Pc2.Hydrophilicity.27,APAAC_Pc2.Hydrophobicity.28,APAAC_Pc2.Hydrophilicity.28,APAAC_Pc2.Hydrophobicity.29,APAAC_Pc2.Hydrophilicity.29,APAAC_Pc2.Hydrophobicity.30,APAAC_Pc2.Hydrophilicity.30
HL41_00015,23.379729211741,13.2146295544623,12.1981195887344,11.1816096230066,13.2146295544623,26.4292591089246,5.08254982863934,30.4952989718361,4.06603986291148,13.2146295544623,26.4292591089246,22.3632192460131,13.2146295544623,8.13207972582295,14.2311395201902,14.2311395201902,6.09905979436721,5.08254982863934,12.1981195887344,30.4952989718361,-0.00134952188685311,-0.00121525277901538,0.0014228244010747,0.00215851446393411,0.00295580978739172,0.00201895437906441,0.00329591315271103,0.00389748135617185,0.000426075165961606,-0.00171905126331377,-0.00161375305217131,-0.000252658370164778,0.00185235829439749,0.00369367842817503,0.00509091875348421,0.00255833278950378,-0.000236649296515634,-0.000436885118169168,-0.00361690739771918,-0.00331713143472835,-0.00179202349692023,-0.00105786392355832,0.000620719852606989,-0.00289855440076277,0.00510256864519431,0.0013539175037791,-0.0049286564362901,-0.00273173679597902,0.000809219120294013,0.000742614420898603,-0.00541672369902717,-0.00157771460406951,0.00270195971730488,0.00243376752482049,-0.00333607249059789,-0.00142629055221984,-0.00232870764954335,-0.00363235775776314,0.00214225171504808,0.00223291409642958,0.000241705499716385,0.000522089618604991,-0.00198588380187373,-0.00235842355058322,-0.000835527167894103,-0.00337426950803377,-0.00176876032092207,-0.00131927856204199,0.0021255360046658,0.00174184226472112,-0.00151195702252497,-0.00396326474987645,0.000891706675160761,0.00231287251318996,-0.00116961421146676,0.000427241481928348,-0.00366510242158207,-0.00278463940609803,-0.000117100261903235,-0.0025454199639199
HL41_00025,23.6070159098985,15.738010606599,7.86900530329948,17.7052619324238,12.7871336178617,24.5906415728109,2.95087698873731,31.4760212131979,4.91812831456218,13.7707592807741,36.3941495277601,19.6725132582487,4.91812831456218,5.90175397747461,18.6888875953363,14.7543849436865,8.85263096621192,0.983625662912436,14.7543849436865,32.4596468761104,-0.00301609699833977,-0.00461194739940525,-0.000365715824613839,0.000621177717702118,0.00108066954106579,0.000950630200331465,0.00441010978201139,0.00481095751615573,-0.00113561174358952,0.00054361235770372,0.00128865502956005,0.00118598647400771,0.000761693335498008,0.00143942003542483,-0.00138891024330493,-0.00156838109387289,0.00369490113795937,9.32493736572421e-05,0.0058600323231015,0.00480378704740827,-0.000109255003319366,0.00107982193399934,-0.00302267572229445,-0.00458644350848772,-0.00365488585779172,0.00125404984907618,0.00012692745117696,0.000150162513870713,0.00359903016943492,0.00267052014554207,0.00487068881665614,0.000865436536820214,0.00262188955005857,0.00292187588838936,-0.00292227677542706,-0.000125003722842811,-0.00538890213581968,-0.00319506652138898,-0.000240925351010029,0.000241493731818723,0.00115816255429675,0.00114290243306763,-0.00328501965532586,-0.00215710221623441,-0.000565546793503774,0.000296305340004305,0.000281850219869231,0.00234141003860797,0.00423408648592957,0.0054386248491483,-0.000109085024694514,-0.00111562020006165,-0.000956216657949946,-0.000299017573155091,0.00255440564320246,0.00492779798223845,-0.0064727898360102,-0.00187422097020121,-0.003939521414181,-0.00184174867440486
HL41_00035,4.77866820046118,1.91146728018447,2.86720092027671,12.4245373211991,1.91146728018447,11.4688036811068,3.82293456036894,12.4245373211991,0.955733640092236,17.2032055216602,9.55733640092236,13.3802709612913,2.86720092027671,4.77866820046118,5.73440184055342,2.86720092027671,6.69013548064565,0,4.77866820046118,21.9818737221214,-0.00394884494984756,-0.0067745298232906,-0.00435143023889309,-0.00526432747895618,0.00802128501709369,0.00698204708135687,-0.000490889945665592,-0.00206827887779611,-0.00253345661907811,-0.00204534330252515,5.95448509979253e-05,0.000953060135909458,0.00663996984380184,0.00684887644199059,-0.000330286082659645,0.00135051336236992,-0.00374260076386016,-0.00457119419332178,0.000815836969366537,0.000600268312112267,0.00255765403583548,0.00140080144543492,-0.000673871424533844,0.00134993517701239,0.00538835307200005,0.00792164228955194,0.000820476536101919,0.00265158002531469,0.00348305968171588,0.00541979599871464,-0.000333617705738484,-0.00214971134478174,-0.00359012282673584,-0.00115267890289245,0.00415619309734888,0.000769909853829564,0.00445004502429857,-7.32564725446079e-05,0.000490176711880886,-0.000414539386025824,0.00136591834511626,-9.61303624343758e-05,0.00457557139710939,2.21274252701499e-05,0.00125859300670038,-0.000885244617718184,-0.0046060650622624,-0.0054135056076034,0.0143312546133059,0.0110052887971791,-0.0014463193557298,-0.00364629057658996,-0.00242061080744108,-0.00723710432730308,0.00294398611715807,0.00428729112620503,0.00931285135440088,0.00151654208035878,-0.00507512504394201,-0.00414871321890777
HL41_00040,13.1070456770624,5.39701880820217,8.48102955574627,3.0840107475441,2.31300806065807,3.85501343443012,1.54200537377205,21.5880752328087,1.54200537377205,28.5270994147829,46.2601612131615,13.1070456770624,3.85501343443012,16.1910564246065,5.39701880820217,23.9010832934668,16.9620591114925,2.31300806065807,3.85501343443012,20.0460698590366,0.00627604270809074,0.00033045795458187,0.00423162645254496,0.00113474855281027,0.00937415098729664,0.00420575637969363,0.0105767299785545,0.00425648959551979,0.00642069990310287,0.00143255219820254,0.00645284135143277,0.00209971146446525,0.00659460702149993,0.00276006880925668,0.00716852723913844,0.00264733855099683,0.00672020245957759,0.0016814165300491,0.00429446142558907,0.00124608377508831,0.00454869048023964,0.00162860693195572,0.0061037006527233,0.00199512238089965,0.0052278437607274,0.00117150339747954,0.00416500114499391,0.000180501935131269,0.00420535238750371,0.000607860636934223,0.00684216270514552,-0.000932871342340404,0.00855809638090197,0.00320637094709206,0.00463128993837961,0.00031015145733707,0.00738843474443145,0.00214208343064133,0.0062846260590817,0.000734955486247823,0.0100369445106559,0.00277326318920063,0.00621304433431255,0.000345380740106023,0.00378408966398719,-0.00216455487983262,0.006036814872736,0.00209865954105107,0.00654956920934473,0.00123726228591307,0.00704443808710996,0.00069280261860851,0.00633236695841464,0.00155143975479556,0.00663653161946575,0.00111952066215759,0.00749088976074226,0.00180715036201717,0.00155796714917326,-0.001050264178982
HL41_00045,11.9578640651882,8.96839804889116,9.96488672099018,10.9613753930892,8.96839804889116,26.9051941466735,4.98244336049509,6.97542070469312,1.99297734419804,23.9157281303764,29.8946601629705,19.9297734419804,3.98595468839607,6.97542070469312,1.99297734419804,8.96839804889116,8.96839804889116,1.99297734419804,10.9613753930892,7.97190937679214,-0.00679635922089109,-0.00205016288705641,-0.00856918929681665,-0.00864261319591498,0.00254074470120954,0.00486680950725759,0.00338140639873433,0.0067293740953173,-0.000584615224807065,0.000513630087907911,-0.00688504824957456,-0.00493634187867502,0.00623685513598772,0.00404036357240169,-3.75539021964553e-05,0.000330745578097627,-0.00506451001855795,3.51724476547172e-05,0.00559870560555486,0.00647700793465526,-0.0013156666548288,0.00158916290853725,-0.00328539334182769,0.000206943941637804,-0.0026213760899142,-0.00348775029892349,0.0086348217463647,0.00490052097195637,-0.00281650389341231,0.00192581385268787,-0.00173667037720138,-0.000540978373892497,0.000985793195749067,-0.000993338427601154,0.000725326261295152,0.00163887086986771,-0.00309623540756436,0.00162551057231051,-0.000135866851743837,0.00282951921984885,0.00299031369489307,0.00169211481178661,-0.00601569180950203,-0.00293028381822852,0.00232296418817122,0.0038230887267948,-0.000680466940091365,-0.00475222992391674,-0.00161035566396923,-0.00109835464446826,0.00269324084201792,0.00492003945215696,-0.00162620158227512,0.002286742164477,0.00254150639079496,0.00527437264499431,-0.00371755036698491,-0.000978412854940093,-0.00526519360699097,0.00142476118262863
HL41_00050,8.16591666663397,5.10369791664623,8.16591666663397,11.2281354166217,1.02073958332925,6.12443749997547,2.04147916665849,4.08295833331698,3.06221874998774,17.3525729165972,12.2488749999509,16.3318333332679,3.06221874998774,4.08295833331698,5.10369791664623,6.12443749997547,5.10369791664623,0,3.06221874998774,14.2903541666094,0.00183844828516076,0.00243708204004847,-0.0133412282783998,-0.0112638589323975,0.00159625832959043,0.00629149186807501,0.00192665908478978,0.00761474530529559,-0.00187620638742723,-0.000319341202417043,-0.0161407442558932,-0.0126250272156741,-0.00346841768147441,-0.00137216320237094,0.00330215817772336,0.00657612514684873,0.0102883048379381,0.00274506130368937,-0.0056173965115971,-0.00423266715669143,-0.00501618030462499,-0.00698368578345441,0.0101376600537373,0.00799646282689992,0.000230397461335378,0.0012142257931205,0.00232848466125516,0.0036416542811104,-0.00862314287917398,-0.00596994194747254,-0.0116109221891453,-0.0112516175654946,-0.000397267891649367,0.00917170979879323,0.000372166133872528,0.00580995533542912,-0.00367887245395751,-0.00354755167837537,-0.00609168046606873,0.000116133912078668,0.0166502924308165,0.0169827260655612,0.0122134090338797,0.00725653998761559,-0.00087114866495443,-0.00154863940782871,0.0026977282041588,0.00783501566294463,-0.000694586436810496,0.00386487679420389,0.00118349905957533,-0.00416197185268611,-0.00225049757708033,0.00140827986265723,-0.0111003869091054,-0.00136585950970749,-0.0120614993514505,-0.0075697973870726,0.000548641586422902,-0.00196347557341736
HL41_00070,36.9206689091558,23.6670954545871,12.3068896363853,17.9869925454862,6.62678672728438,40.7074041818898,15.1469410909357,32.1872498182384,11.3602058182018,35.9739850909723,52.0676100000916,42.6007718182567,8.52015436365135,22.7204116364036,28.4005145455045,28.4005145455045,23.6670954545871,0.946683818183483,11.3602058182018,30.2938821818714,-0.00188118407208366,-0.00184560211820441,-0.0023668374100721,-0.00213775497046727,-0.00099655663118354,0.0014640027949753,0.000513010228586341,0.00155915555457084,0.000302905887306461,0.00127641993628565,8.68723268108145e-05,0.000163063252742165,0.00127868132922678,0.00145284294816735,-0.000516409639217086,0.00112513830382317,0.000934191902640827,0.00205693408175474,0.00252340901574646,0.00238192885856889,0.00363108843221091,0.00468770850711117,0.00172618601985754,0.00427117169356921,-0.00230794354573908,-0.00307589565071914,-0.00268842996989889,-0.00103218534266889,0.00123685669027969,0.00334037221667134,-0.00436740504944637,-0.00292038542620413,0.00118679844058811,0.00299652804690851,0.00365715988519575,0.00488822157955299,0.00377261057998344,0.00487669733526024,0.000346041129110969,0.000572083769309772,0.00465176066821839,0.00547656532240097,-0.00228568045179214,-0.000503740811534388,0.00159524968574573,0.00308056074466079,0.00174867906180779,0.00250393803842898,-0.00182268692431211,-0.00111380098660598,-0.000319729166366316,0.00226217329732938,3.27425006606929e-05,0.000102113011453936,0.00278472219664094,0.00368111262533852,-0.0021329866863041,0.00193844205718053,-0.00120487572174428,0.00067013243439912
HL41_00075,14.654232468756,2.9308464937512,2.1981348703134,0,1.4654232468756,3.663558117189,0.7327116234378,13.1888092218804,0.7327116234378,8.0598278578158,16.8523673390694,2.1981348703134,3.663558117189,2.1981348703134,2.9308464937512,2.1981348703134,3.663558117189,0.7327116234378,1.4654232468756,7.327116234378,0.011835530263775,0.00292266948915788,0.00720827085804074,-0.000335023750625043,0.0115649317680453,0.00463687986997637,0.0109589027064065,0.00515278760346694,0.0111215752868575,0.0028556344439579,0.0104726467552584,0.00594491476708787,0.00807953666836781,0.000401341332311997,0.0100834047344154,0.00113136156956358,0.00774949350573421,0.00159877715000586,0.00707877628473867,0.0011049894940014,0.010292004759337,0.00236360377657752,0.00635615475114829,-0.00059923710421354,0.00473805344327722,-0.00094311696102881,0.00836679627945665,0.000554182089213286,0.0107812600216916,0.00186481209076426,0.00810695297599147,0.00077118220266736,0.0099754481538475,0.00204280210076526,0.00551784422945214,-0.0021242602033751,0.00689406210610084,0.00110036633338367,0.00961670613622671,-0.000537620160463769,0.00635455377714412,0.00315901566379177,0.00633046162243408,0.00160166022075767,0.00540588009380747,0.00114349195158715,0.0014736101844628,-0.00221793901192707,0.00732716066125206,0.00224767520172257,0.00319303006379827,-0.00356057430888937,0.00430407459499309,0.00145333286290588,0.0101907101737906,0.00174030780167318,0.00530682825732557,-0.00179548186970314,0.00686639228704657,5.87885128632217e-05
HL41_00080,10.6341668198755,2.83577781863348,5.67155563726696,0.70894445465837,2.12683336397511,8.50733345590044,1.41788890931674,14.1788890931674,7.79838900124207,15.5967780024841,32.611444914285,6.38050009192533,4.96261118260859,17.0146669118009,12.0520557291923,6.38050009192533,7.0894445465837,1.41788890931674,7.79838900124207,12.0520557291923,0.00776998770824613,0.0048527834400144,0.00537673516648906,0.000841911735222239,0.00885017640423127,0.00387166557304879,0.0113615712367135,0.00570056729677946,0.00697281874970224,0.00182717293492441,0.00587665318647387,0.00316428736802221,0.0109688975785899,0.0062279936326003,0.00958333677747597,0.00389383298206696,0.00377448820165143,0.000574494089271771,0.00693450114501938,0.00257532667923132,0.00846132956840164,0.00394438696027411,0.00693601106595178,0.00301849797016666,0.00610503854391021,0.00308493439557626,0.0039498368791713,-0.000311164189870997,0.00756253336557839,0.00223833249297285,0.00679797312158706,0.00127463431464802,0.00500981436309151,0.00293907305988178,0.0063177083417647,0.00257384417174006,0.00843276106567199,0.0019350715622681,0.00538834024624742,0.000870289311124689,0.00633244814554452,0.00117469272870127,0.00411863528375416,0.000925454939828985,0.00984898920127722,0.00501183349146095,0.00604175601680291,0.00405379917740162,0.00649804985545391,0.00344103362625354,0.00781091953600375,0.00320184441782194,0.00764865075241691,0.00298253913880787,0.00409956462489293,0.00265594440070734,0.00573304076302525,0.00194226947497872,0.00755299875211651,0.0024526325184475
HL41_00085,8.19039689146152,3.27615875658461,2.45711906743846,1.6380793782923,0,8.19039689146152,1.6380793782923,8.19039689146152,3.27615875658461,12.2855953371923,16.380793782923,11.4665556480461,1.6380793782923,13.1046350263384,1.6380793782923,4.91423813487691,5.73327782402306,0.819039689146152,4.91423813487691,10.6475159589,0.0130844863877504,0.0126857510223192,0.00549709990065812,0.000538433087466531,0.0107762674036812,0.00574216143247448,0.00736468254972796,0.00264581056012449,0.00342849526214911,0.00113218870593267,0.0066696473206021,0.00102509709502269,0.00781194010105812,0.0067027117205046,0.0105603749169889,0.00897180142993098,0.00667485233384699,0.00226568063906716,0.00887529003401297,0.0016906037940538,0.00468421258793891,0.00341491580906433,0.00197482741715205,0.00128659788133735,0.00478293109747314,-6.93322747722504e-05,0.00705571849578684,7.2570850774759e-05,0.0042271849722728,0.000887544404494455,0.00592754173544936,0.00357858102269889,0.00683023504237639,0.00231235442200814,0.00629311337434795,-0.00230307340809543,0.00287420390455934,8.71604538880968e-05,0.00119621040613005,-0.000637758937093315,0.00347647089496672,-0.00191871229837035,0.00311465724390442,-7.48382389852464e-05,0.00418035036898373,0.00282000058508786,0.0054098278920621,0.00421518399728822,0.000240308590360034,-0.00544159419800308,0.000272305212401776,-0.00774311962781814,0.00388562340811343,-0.000901654437191456,0.00115558274046352,-0.00190693039990585,0.00113003370788481,-0.00487113821618385,-0.00166196960154532,-0.00303919172482981
